artifact_type,path
table,jsw\강원_재_EDA\outputs\Step3\tables\S3-02_analysis_scope.csv
table,jsw\강원_재_EDA\outputs\Step3\tables\S3-02_population_audit.csv
table,jsw\강원_재_EDA\outputs\Step3\tables\S3-02_feature_missingness_audit.csv
table,jsw\강원_재_EDA\outputs\Step3\tables\S3-02_feature_registry.csv
table,jsw\강원_재_EDA\outputs\Step3\tables\S3-02_lead_window_delta_raw.csv
table,jsw\강원_재_EDA\outputs\Step3\tables\S3-02_lead_window_delta_summary.csv
table,jsw\강원_재_EDA\outputs\Step3\tables\S3-02_lead_window_by_climate_type.csv
table,jsw\강원_재_EDA\outputs\Step3\tables\S3-02_window_rank_overall.csv
table,jsw\강원_재_EDA\outputs\Step3\tables\S3-02_plot_manifest.csv
plot,jsw\강원_재_EDA\outputs\Step3\plots\S3-02_effect_by_window_humidity_min.png
plot,jsw\강원_재_EDA\outputs\Step3\plots\S3-02_effect_by_window_humidity_mean.png
plot,jsw\강원_재_EDA\outputs\Step3\plots\S3-02_effect_by_window_wind_mean.png
plot,jsw\강원_재_EDA\outputs\Step3\plots\S3-02_effect_by_window_wind_max.png
plot,jsw\강원_재_EDA\outputs\Step3\plots\S3-02_effect_by_window_rain_sum.png
plot,jsw\강원_재_EDA\outputs\Step3\plots\S3-02_effect_asof_canadian_indices.png
plot,jsw\강원_재_EDA\outputs\Step3\plots\S3-02_window_rank_forest_plot.png
