artifact_type,filename,path,rows,columns
table,S2-04_analysis_scope.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-04_analysis_scope.csv,9.0,2.0
table,S2-04_audit_summary.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-04_audit_summary.csv,18.0,3.0
table,S2-04_matching_quality.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-04_matching_quality.csv,1150.0,22.0
table,S2-04_matched_controls.csv.gz,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-04_matched_controls.csv.gz,5632.0,35.0
table,S2-04_stratified_summary.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-04_stratified_summary.csv,41.0,10.0
plot,S2-04_abs_date_difference_distribution.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-04_abs_date_difference_distribution.png,,
plot,S2-04_signed_date_difference_distribution.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-04_signed_date_difference_distribution.png,,
plot,S2-04_control_reuse_distribution.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-04_control_reuse_distribution.png,,
plot,S2-04_climate_type_matching_success.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-04_climate_type_matching_success.png,,
plot,S2-04_monthly_candidate_pool_median.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-04_monthly_candidate_pool_median.png,,
