artifact_type,filename,path,rows,columns
table,S2-03_analysis_scope.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_analysis_scope.csv,9.0,2.0
table,S2-03_population_validation.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_population_validation.csv,16.0,3.0
table,S2-03_rolling_source_code_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_rolling_source_code_audit.csv,4.0,3.0
table,S2-03_rolling_recalculation_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_rolling_recalculation_audit.csv,11.0,9.0
table,S2-03_d_lag_recalculation_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_d_lag_recalculation_audit.csv,5.0,7.0
table,S2-03_timestamp_semantics_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_timestamp_semantics_audit.csv,1.0,10.0
table,S2-03_exclusion_rule_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_exclusion_rule_audit.csv,4.0,5.0
table,S2-03_event_window_contamination_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_event_window_contamination_audit.csv,1150.0,7.0
table,S2-03_candidate_missingness_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_candidate_missingness_audit.csv,8.0,4.0
table,S2-03_candidate_duplicate_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_candidate_duplicate_audit.csv,5.0,3.0
table,S2-03_sample_group_counts.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_sample_group_counts.csv,5.0,7.0
table,S2-03_canadian_asof_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_canadian_asof_audit.csv,3.0,9.0
table,S2-03_candidate_monthly_summary.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_candidate_monthly_summary.csv,12.0,8.0
table,S2-03_candidate_hourly_summary.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_candidate_hourly_summary.csv,24.0,8.0
table,S2-03_candidate_climate_type_summary.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_candidate_climate_type_summary.csv,3.0,8.0
table,S2-03_candidate_distribution_tests.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_candidate_distribution_tests.csv,3.0,10.0
table,S2-03_nonfire_candidate_keys.csv.gz,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-03_nonfire_candidate_keys.csv.gz,1536040.0,17.0
plot,S2-03_exclusion_rule_counts.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-03_exclusion_rule_counts.png,,
plot,S2-03_monthly_candidate_composition.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-03_monthly_candidate_composition.png,,
plot,S2-03_hourly_candidate_composition.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-03_hourly_candidate_composition.png,,
