artifact_type,filename,path,rows,columns
table,S2-02_analysis_scope.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_analysis_scope.csv,9.0,2.0
table,S2-02_population_validation.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_population_validation.csv,15.0,3.0
table,S2-02_missingness_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_missingness_audit.csv,8.0,5.0
table,S2-02_duplicate_key_audit.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_duplicate_key_audit.csv,6.0,3.0
table,S2-02_sample_group_counts.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_sample_group_counts.csv,6.0,7.0
table,S2-02_monthly_event_exposure_counts.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_monthly_event_exposure_counts.csv,12.0,21.0
table,S2-02_hourly_event_exposure_counts.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_hourly_event_exposure_counts.csv,24.0,14.0
table,S2-02_climate_type_counts_rates.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_climate_type_counts_rates.csv,3.0,17.0
table,S2-02_climate_type_monthly_rates.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_climate_type_monthly_rates.csv,36.0,10.0
table,S2-02_climate_type_season_rates.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_climate_type_season_rates.csv,12.0,10.0
table,S2-02_date_cluster_summary.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_date_cluster_summary.csv,282.0,7.0
table,S2-02_distribution_tests.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_distribution_tests.csv,5.0,9.0
table,S2-02_key_rate_contrasts.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_key_rate_contrasts.csv,7.0,17.0
table,S2-02_unique_weather_exposures.csv,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\tables\S2-02_unique_weather_exposures.csv,1150.0,13.0
plot,S2-02_monthly_event_count.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-02_monthly_event_count.png,,
plot,S2-02_monthly_exposure_rate.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-02_monthly_exposure_rate.png,,
plot,S2-02_hourly_event_count.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-02_hourly_event_count.png,,
plot,S2-02_hourly_exposure_rate.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-02_hourly_exposure_rate.png,,
plot,S2-02_climate_type_exposure_rate.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-02_climate_type_exposure_rate.png,,
plot,S2-02_climate_type_monthly_rate_heatmap.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-02_climate_type_monthly_rate_heatmap.png,,
plot,S2-02_daily_cluster_top_dates.png,D:\farm-system-public-02\jsw\강원_재_EDA\outputs\Step2\plots\S2-02_daily_cluster_top_dates.png,,
